name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating
Lauren Carter,https://dummyimage.com/888x484,MSc in Computer Science,28,Principal Backend Developer,Jackson-Stark,Microservices Architecture,"REST APIs, Node.js, Backend Development, NoSQL Databases, SQL",2.4
Dawn Black,https://placekitten.com/614/174,MSc in Data Science,26,Senior Data Scientist,Reynolds-Ferguson,Data Science,"SQL, Data Mining, R, Machine Learning, Data Visualization",1.5
David Farmer,https://placekitten.com/689/426,PhD in Artificial Intelligence,14,Principal AI Researcher,"Martinez, Rogers and Parks",Natural Language Processing,"Natural Language Processing, Machine Learning, Reinforcement Learning, Computer Vision, Python",3.3
Mrs. Catherine Evans,https://placekitten.com/380/226,MSc in Computer Science,27,Mobile App Developer,"Raymond, Gonzalez and Miller",Mobile App Development,"React Native, Kotlin, iOS Development, Swift, Cross-Platform Development",1.1
Crystal Mclean,https://dummyimage.com/437x193,PhD in Artificial Intelligence,22,Principal AI Researcher,"Jones, Montgomery and Patton",Deep Learning,"Natural Language Processing, Deep Learning, PyTorch, Computer Vision, Reinforcement Learning",4.2
Gregory Arias,https://placekitten.com/406/50,BSc in Data Science,12,Principal Data Scientist,"Murphy, Garcia and Wilson",Predictive Analytics,"Data Mining, Python, Natural Language Processing, Data Visualization, Machine Learning",3.1
Amy Ramirez PhD,https://placekitten.com/507/836,MSc in Computer Science,4,Lead Software Developer,Hernandez-Graham,System Design,"System Architecture, Database Management, Debugging, Python, Java",2.1
Elaine Moody,https://picsum.photos/932/177,MSc in Cybersecurity,14,Cybersecurity Expert,Hester LLC,Incident Response,"Network Security, Ethical Hacking, Security Information and Event Management (SIEM), Incident Response, Vulnerability Assessment",3.8
Thomas Dickson,https://placekitten.com/242/803,PhD in Computer Science,23,Senior Software Engineer,Ferguson-Griffin,System Design,"API Development, Java, System Architecture, C++, Python",2.5
Joseph Bartlett,https://placekitten.com/601/1008,MSc in Data Science,40,Data Scientist,"Holder, Patterson and Johnson",Big Data,"Natural Language Processing, SQL, Big Data, R, Data Mining",4.0
Jessica Campbell,https://placekitten.com/619/974,MSc in Information Systems,20,Systems Analyst,"Liu, Price and Wells",Systems Analysis,"Technical Documentation, Requirements Gathering, Database Management, Process Improvement, UML",3.9
Angela Johnson,https://picsum.photos/271/781,MSc in Computer Science,22,Senior Backend Developer,Jones Inc,Microservices Architecture,"Go, NoSQL Databases, Python, SQL, Node.js",3.6
Lindsey Jackson PhD,https://placekitten.com/149/132,MSc in Computer Science,25,Senior Backend Developer,Hansen LLC,API Development,"Microservices, Go, SQL, NoSQL Databases, REST APIs",1.9
Daniel Summers,https://dummyimage.com/395x54,MSc in Information Systems,4,Principal Systems Analyst,Lowe-Anderson,Systems Analysis,"UML, Technical Documentation, Database Management, Requirements Gathering, System Integration",1.0
Carmen Hunter,https://picsum.photos/832/818,MSc in Computer Science,16,Full Stack Developer,Conrad-Brown,Web Development,"Node.js, React, Angular, SQL, Full Stack Development",4.6
Angelica Jones,https://placekitten.com/406/277,PhD in Computer Science,8,Principal AI Researcher,Miller-Hall,Natural Language Processing,"Python, Natural Language Processing, Reinforcement Learning, Algorithm Development, TensorFlow",1.7
Benjamin Irwin,https://picsum.photos/620/492,MSc in Information Technology,18,Senior DevOps Engineer,Peterson-Graham,DevOps,"Kubernetes, Terraform, Shell Scripting, Linux, Ansible",4.6
Aaron Rice,https://dummyimage.com/264x311,BSc in Computer Science,31,Full Stack Developer,Williams-Bailey,Web Development,"REST APIs, JavaScript, Node.js, Angular, SQL",4.9
Zachary Rowe,https://dummyimage.com/265x435,BSc in Data Science,26,Data Scientist,Mathews and Sons,Machine Learning,"Python, Machine Learning, Natural Language Processing, SQL, Big Data",2.7
Brittany Jenkins,https://dummyimage.com/197x283,BSc in Information Technology,39,Frontend Developer,Sullivan-Miller,Frontend Development,"CSS, JavaScript, HTML, Angular, React",2.1
David Wilson,https://placekitten.com/625/927,MSc in Data Engineering,9,Senior Data Engineer,Joseph Ltd,ETL Processes,"Apache Spark, Database Management, Hadoop, SQL, Big Data",3.6
Christopher Mcmahon,https://picsum.photos/320/283,MSc in Computer Science,4,Backend Developer,"Gallagher, Malone and Hobbs",Backend Development,"Python, Microservices, Go, Node.js, Java",2.1
Stephen West,https://placekitten.com/674/659,MSc in Information Technology,15,DevOps Engineer,"Salas, Smith and Gilmore",Cloud Computing,"Terraform, AWS, CI/CD, Linux, Ansible",3.1
Anthony Thompson,https://picsum.photos/749/581,BSc in Information Technology,18,Senior DevOps Engineer,"Richardson, Clark and Shah",DevOps,"Linux, Shell Scripting, Ansible, Kubernetes, Azure",4.1
Jessica Rodriguez,https://placekitten.com/456/833,MSc in Network Engineering,29,Network Engineer,Roth-Fitzgerald,Network Security,"Network Troubleshooting, VPN, Wireless Networking, TCP/IP, Network Design",2.7
Angela Baker,https://dummyimage.com/927x643,MSc in Computer Science,4,Senior Software Engineer,Cortez Ltd,Database Systems,"Database Management, Software Design, Agile Methodologies, Python, API Development",2.1
Heidi Gilbert,https://dummyimage.com/485x542,MSc in Information Technology,1,Senior DevOps Engineer,"Watkins, Harrison and Armstrong",Cloud Computing,"Shell Scripting, Ansible, Terraform, Docker, Azure",3.1
Alyssa Moore,https://placekitten.com/763/744,BSc in Computer Science,1,Senior Frontend Developer,Davis-Warren,Responsive Design,"UI/UX Design, CSS, HTML, React, TypeScript",4.8
Dawn Curtis,https://placekitten.com/401/803,MSc in Computer Science,31,Full Stack Developer,"Rush, Johnson and Wheeler",Web Development,"JavaScript, Angular, CSS, REST APIs, Full Stack Development",2.5
Allen Wiggins,https://placekitten.com/377/147,BSc in Network Engineering,24,Network Engineer,Perez PLC,Networking,"TCP/IP, Cisco, LAN/WAN, Firewall Configuration, Network Troubleshooting",1.3
Dylan Hernandez,https://placekitten.com/427/297,MSc in Data Engineering,38,Data Engineer,Horton PLC,ETL Processes,"Big Data, Hadoop, SQL, Python, Apache Spark",2.0
Donna Myers,https://picsum.photos/68/246,MSc in Computer Science,34,Senior Backend Developer,"Moore, Jones and Horton",API Development,"Go, REST APIs, Java, Python, Node.js",3.6
Gary Clayton,https://picsum.photos/608/26,MSc in Blockchain Technology,26,Principal Blockchain Developer,Perry PLC,Smart Contracts,"Solidity, Distributed Systems, Ethereum, Blockchain Development, Smart Contracts",3.4
Andrew Pratt,https://dummyimage.com/376x218,BSc in Computer Science,25,Principal Blockchain Developer,Moore and Sons,Smart Contracts,"Solidity, Bitcoin, Cryptography, Ethereum, Consensus Algorithms",4.3
Thomas Morales,https://picsum.photos/750/777,MSc in Information Systems,1,Principal Systems Analyst,Knox and Sons,Business Analysis,"Process Improvement, Business Analysis, UML, System Analysis, Technical Documentation",3.1
Jason Smith,https://dummyimage.com/716x148,MSc in Data Science,3,Principal Data Scientist,"Garcia, Hall and Parker",Data Science,"R, Data Visualization, Natural Language Processing, Statistics, Big Data",3.7
Joseph Schwartz,https://dummyimage.com/302x254,BSc in Computer Science,7,Mobile App Developer,Lopez-Hill,Cross-Platform Development,"Kotlin, Java, React Native, Mobile UI Design, Swift",2.6
John Black,https://picsum.photos/742/927,BSc in Cybersecurity,7,Senior Cybersecurity Analyst,Williams Inc,Network Security,"Incident Response, Firewall Management, Penetration Testing, Ethical Hacking, Network Security",2.1
Kimberly Farmer,https://dummyimage.com/863x109,BSc in Data Science,29,Data Scientist,Anderson PLC,Predictive Analytics,"Data Visualization, Statistics, Data Mining, Natural Language Processing, Big Data",3.9
John Holt,https://picsum.photos/319/823,MSc in Computer Science,7,Principal Backend Developer,Peters LLC,Database Management,"Go, SQL, Python, Microservices, NoSQL Databases",2.6
Manuel Jennings,https://placekitten.com/291/283,BSc in Cybersecurity,19,Principal Cybersecurity Specialist,Hill Ltd,Network Security,"Ethical Hacking, Firewall Management, Network Security, Vulnerability Assessment, Cryptography",4.6
Kenneth Bullock,https://picsum.photos/293/405,BSc in Data Engineering,5,Senior Data Engineer,"Quinn, Mathis and Thompson",Data Pipeline Development,"Python, Data Pipeline Development, Database Management, Data Warehousing, Big Data",1.4
Matthew Ramsey,https://picsum.photos/224/741,BSc in Information Technology,1,Senior DevOps Engineer,Lozano PLC,Infrastructure as Code,"Ansible, Kubernetes, AWS, Linux, Terraform",4.6
John Watson,https://placekitten.com/783/520,BSc in Computer Science,16,Senior Full Stack Developer,Lewis Ltd,Frontend and Backend Integration,"HTML, CSS, Node.js, REST APIs, SQL",3.8
Jessica Lucas,https://picsum.photos/657/896,BSc in Computer Science,7,Senior Blockchain Engineer,"Holmes, Hart and Estes",Smart Contracts,"Cryptography, Hyperledger, Blockchain Development, Bitcoin, Smart Contracts",3.5
Angela Donaldson,https://picsum.photos/624/42,BSc in Computer Science,3,Senior Mobile App Developer,Thomas PLC,iOS Development,"Cross-Platform Development, React Native, Flutter, Kotlin, Java",3.3
Belinda Mack,https://picsum.photos/437/491,BSc in Computer Science,2,Mobile App Developer,Butler Group,Android Development,"iOS Development, Mobile UI Design, Flutter, Cross-Platform Development, Android Development",1.6
Wendy Hawkins,https://placekitten.com/868/865,BSc in Network Engineering,1,Principal Network Engineer,"Kemp, Kent and Knox",Network Security,"Firewall Configuration, VPN, Network Security, Network Design, TCP/IP",1.3
Tanya Garner,https://placekitten.com/780/243,MSc in Data Engineering,24,Principal Data Engineer,Padilla PLC,Big Data,"Database Management, Data Warehousing, Hadoop, ETL, Big Data",4.4
Joshua Cole,https://dummyimage.com/892x290,BSc in Network Engineering,20,Principal Network Engineer,Maynard Group,Networking,"Firewall Configuration, Network Troubleshooting, Network Security, VPN, LAN/WAN",3.6
Tommy Dixon,https://placekitten.com/257/688,BSc in Computer Science,3,Principal Frontend Developer,Blake and Sons,Responsive Design,"HTML, Responsive Design, CSS, UI/UX Design, React",1.6
James Jones,https://picsum.photos/319/128,MSc in Information Systems,37,Systems Analyst,Jordan-Ramirez,Process Improvement,"UML, System Integration, Process Improvement, Requirements Gathering, System Analysis",4.5
John Brown,https://placekitten.com/509/128,MSc in Data Engineering,5,Principal Data Engineer,Cuevas and Sons,Data Pipeline Development,"Data Pipeline Development, Apache Spark, ETL, Big Data, Database Management",1.1
Brandon Perkins,https://dummyimage.com/285x931,BSc in Computer Science,14,Lead Software Developer,Wallace-Douglas,System Design,"System Architecture, C++, Agile Methodologies, API Development, Database Management",1.3
Christie Bryan,https://picsum.photos/26/990,BSc in Computer Science,14,Senior Full Stack Developer,"Lewis, Rivera and Owen",Web Development,"CSS, Full Stack Development, SQL, REST APIs, Node.js",4.3
Ashley Barber,https://picsum.photos/147/669,BSc in Information Technology,24,DevOps Engineer,Contreras LLC,Cloud Computing,"Docker, AWS, CI/CD, Azure, Terraform",4.6
Jeffrey Hendrix,https://picsum.photos/956/567,BSc in Cybersecurity,23,Senior Cybersecurity Analyst,"Vaughn, Whitney and Smith",Incident Response,"Ethical Hacking, Firewall Management, Penetration Testing, Security Information and Event Management (SIEM), Incident Response",3.3
Jeremy Morris,https://dummyimage.com/310x1024,PhD in Artificial Intelligence,7,Principal AI Researcher,Lyons-Lee,Deep Learning,"PyTorch, Algorithm Development, Natural Language Processing, Deep Learning, Reinforcement Learning",2.3
Richard Reyes,https://picsum.photos/819/487,MSc in Computer Science,13,Principal Mobile App Developer,Nguyen Ltd,Mobile App Development,"iOS Development, Kotlin, Swift, React Native, Mobile UI Design",2.2
Joseph Mann,https://picsum.photos/818/75,MSc in Information Systems,18,Principal Systems Analyst,"Franklin, Ford and Kelly",Process Improvement,"Requirements Gathering, Business Analysis, System Integration, UML, Database Management",4.1
Timothy Roberts,https://picsum.photos/782/458,MSc in Computer Science,40,Mobile App Developer,Warren LLC,iOS Development,"Java, React Native, Android Development, Kotlin, Flutter",3.0
Barry Lewis,https://picsum.photos/54/230,PhD in Data Science,11,Data Scientist,Williams-Mendoza,Data Science,"Statistics, R, Machine Learning, SQL, Big Data",2.8
Zachary Turner,https://placekitten.com/455/23,BSc in Computer Science,22,Lead Software Developer,Weaver PLC,Cloud Computing,"C++, Python, System Architecture, Software Design, API Development",3.0
James Bradshaw,https://placekitten.com/523/114,BSc in Information Technology,37,Principal Frontend Developer,Chang-Hart,Responsive Design,"Vue.js, HTML, CSS, Angular, TypeScript",1.7
Bryan Powell,https://placekitten.com/983/1001,BSc in Cybersecurity,26,Cybersecurity Expert,Higgins-Wilson,Incident Response,"Penetration Testing, Network Security, Cryptography, Incident Response, Vulnerability Assessment",2.2
Anthony Lopez,https://dummyimage.com/677x280,BSc in Computer Science,28,Senior Blockchain Engineer,Phillips and Sons,Decentralized Applications (DApps),"Cryptography, Consensus Algorithms, Ethereum, Distributed Systems, Blockchain Development",4.8
Brenda Taylor,https://picsum.photos/69/44,PhD in Data Science,18,Senior Data Scientist,"Curtis, Harris and Michael",Predictive Analytics,"Machine Learning, Python, Big Data, Data Visualization, Data Mining",1.5
Molly Olson,https://placekitten.com/603/462,BSc in Business Administration,5,Product Manager,Baldwin-Copeland,User Experience,"User Experience, Scrum, Project Management, Product Roadmap, Agile",3.4
Kathleen Lawson,https://dummyimage.com/113x249,MSc in Data Engineering,21,Senior Data Engineer,Hill and Sons,ETL Processes,"ETL, Data Warehousing, Hadoop, Big Data, Python",2.6
Nathan Nguyen,https://dummyimage.com/6x657,MSc in Information Technology,36,Senior DevOps Engineer,Preston-Davis,Automation,"Azure, Docker, Kubernetes, CI/CD, Linux",4.1
Sarah Thompson,https://dummyimage.com/804x462,PhD in Artificial Intelligence,36,AI Researcher,"Smith, Carter and Rivera",Deep Learning,"Machine Learning, Deep Learning, TensorFlow, Reinforcement Learning, Natural Language Processing",2.8
Kevin Odom,https://picsum.photos/963/605,BSc in Computer Science,15,Principal Frontend Developer,Carpenter Ltd,UI/UX Design,"JavaScript, CSS, Responsive Design, TypeScript, HTML",4.2
Rebecca Christensen,https://dummyimage.com/1001x956,MSc in Information Technology,21,DevOps Engineer,Rose-Pennington,DevOps,"Ansible, Shell Scripting, Linux, Kubernetes, Docker",3.8
Joe Carson,https://placekitten.com/929/214,BSc in Network Engineering,20,Principal Network Engineer,Mendoza-Campbell,Network Design,"Wireless Networking, Network Design, LAN/WAN, Cisco, VPN",4.7
Jennifer Grimes,https://placekitten.com/926/571,BSc in Information Technology,1,Frontend Developer,Gardner and Sons,Web Development,"CSS, TypeScript, HTML, UI/UX Design, Responsive Design",4.8
Melanie Smith,https://placekitten.com/585/18,MSc in Computer Science,24,Lead Software Developer,Pennington-Conrad,Cloud Computing,"Database Management, API Development, Python, Java, Agile Methodologies",1.8
Lori Armstrong,https://dummyimage.com/657x390,BSc in Computer Science,33,Mobile App Developer,"Ochoa, Wilson and Gates",iOS Development,"Cross-Platform Development, Java, Flutter, React Native, iOS Development",2.5
Brandon Newton,https://placekitten.com/744/349,MSc in Blockchain Technology,24,Senior Blockchain Engineer,Richmond-Chen,Cryptography,"Solidity, Blockchain Development, Consensus Algorithms, Hyperledger, Smart Contracts",3.6
Carrie Shelton,https://dummyimage.com/210x63,BSc in Cybersecurity,3,Cybersecurity Expert,Mason Group,Incident Response,"Penetration Testing, Ethical Hacking, Security Information and Event Management (SIEM), Cryptography, Firewall Management",2.4
Kevin Nelson,https://dummyimage.com/796x971,BSc in Computer Science,21,Frontend Developer,Hall-Davenport,Web Development,"CSS, UI/UX Design, HTML, React, Angular",4.3
Tim Johnson,https://placekitten.com/163/315,MSc in Information Systems,6,Senior Systems Analyst,Nguyen Group,System Integration,"Process Improvement, System Integration, System Analysis, Requirements Gathering, Technical Documentation",4.4
Daniel Garcia,https://picsum.photos/908/370,MBA,26,Senior Product Manager,Wilson LLC,Product Management,"Agile, User Experience, Market Research, Scrum, Product Lifecycle Management",1.7
Melissa Keller,https://dummyimage.com/886x994,MSc in Computer Science,13,Senior Product Manager,Hale and Sons,User Experience,"Scrum, Product Lifecycle Management, Market Research, Product Roadmap, Project Management",2.8
Michele Baldwin,https://picsum.photos/395/348,MSc in Information Technology,31,Principal DevOps Engineer,Cantu-Steele,DevOps,"Shell Scripting, Terraform, Linux, AWS, Docker",3.9
Dustin Smith,https://dummyimage.com/415x782,MSc in Data Engineering,27,Senior Data Engineer,Soto-Montgomery,ETL Processes,"Hadoop, Apache Spark, Data Warehousing, SQL, Big Data",4.4
Robert Bailey,https://placekitten.com/512/615,BSc in Data Science,14,Principal Data Scientist,"Bass, Malone and White",Predictive Analytics,"SQL, Machine Learning, Big Data, Data Mining, Python",4.1
Susan Williams,https://placekitten.com/586/859,MSc in Cybersecurity,39,Senior Cybersecurity Analyst,Davis Group,Cybersecurity,"Network Security, Cryptography, Security Information and Event Management (SIEM), Firewall Management, Incident Response",3.5
Robert West,https://picsum.photos/364/43,MSc in Computer Science,6,Lead Software Developer,"Weiss, Brock and Kelly",System Design,"Python, Database Management, System Architecture, C++, Agile Methodologies",5.0
Ricky Smith,https://placekitten.com/93/833,BSc in Network Engineering,18,Network Engineer,Morgan Inc,Network Design,"LAN/WAN, VPN, Firewall Configuration, Network Design, Wireless Networking",1.3
Lisa Simmons,https://picsum.photos/392/774,BSc in Data Engineering,8,Data Engineer,Grant and Sons,Data Pipeline Development,"Python, Hadoop, Data Warehousing, ETL, Database Management",1.0
Adam Knight,https://picsum.photos/911/5,MSc in Computer Science,28,Senior Software Engineer,Baker-Powers,Software Engineering,"Software Design, C++, Python, Database Management, System Architecture",4.2
Justin Shepard,https://dummyimage.com/537x432,BSc in Information Technology,8,Senior Frontend Developer,Thompson Inc,Web Development,"CSS, HTML, JavaScript, TypeScript, React",4.8
Kayla Hardy,https://placekitten.com/636/578,BSc in Information Systems,4,Senior Systems Analyst,Sanford-Spencer,Business Analysis,"Technical Documentation, System Integration, UML, Database Management, System Analysis",2.2
Timothy Miller,https://dummyimage.com/546x606,BSc in Information Technology,37,Senior Frontend Developer,"Stewart, Brown and Brown",UI/UX Design,"CSS, React, TypeScript, Responsive Design, UI/UX Design",4.3
Kathleen Gutierrez,https://placekitten.com/833/849,BSc in Computer Science,10,Senior Mobile App Developer,Gilmore and Sons,Mobile App Development,"Swift, Android Development, Mobile UI Design, Flutter, iOS Development",4.4
Patrick Ballard,https://picsum.photos/58/546,MSc in Information Technology,39,DevOps Engineer,Hodges Ltd,DevOps,"Linux, Ansible, Azure, Kubernetes, Shell Scripting",4.1
Matthew Lewis,https://placekitten.com/982/30,BSc in Information Systems,21,Principal Systems Analyst,"Gardner, Morales and James",Systems Analysis,"Database Management, System Analysis, Business Analysis, UML, Requirements Gathering",4.3
Noah Williams,https://placekitten.com/523/419,MSc in Information Systems,9,Senior Systems Analyst,Long PLC,Systems Analysis,"Requirements Gathering, Process Improvement, System Integration, UML, System Analysis",4.4
Cindy Hernandez,https://placekitten.com/28/166,BSc in Information Technology,23,Senior DevOps Engineer,"Lam, James and Ibarra",DevOps,"Docker, CI/CD, Kubernetes, Terraform, AWS",2.7
Jennifer Morgan,https://picsum.photos/492/935,BSc in Computer Science,3,Lead Software Developer,Wilcox-Edwards,Cloud Computing,"C++, System Architecture, Software Design, Python, API Development",3.2
Summer Jones,https://picsum.photos/790/605,BSc in Information Systems,15,Systems Analyst,Lynch Group,System Integration,"System Integration, Process Improvement, Database Management, Requirements Gathering, UML",2.6
Cathy Lopez,https://placekitten.com/172/657,BSc in Computer Science,11,Principal Full Stack Developer,"Sullivan, Harrison and Meyers",Full Stack Development,"React, CSS, SQL, Node.js, HTML",1.1
Alejandra Henry,https://placekitten.com/365/251,MSc in Network Engineering,16,Senior Network Engineer,"Braun, Williams and Villarreal",Networking,"Network Troubleshooting, Firewall Configuration, Network Security, VPN, Wireless Networking",3.2
Kenneth Mckay,https://placekitten.com/672/987,MSc in Information Systems,38,Senior Systems Analyst,Schroeder PLC,Systems Analysis,"Database Management, UML, Requirements Gathering, System Analysis, System Integration",1.4
Dana Henderson,https://placekitten.com/79/842,BSc in Information Technology,40,Principal Frontend Developer,"Chandler, Gates and Edwards",Web Development,"React, UI/UX Design, TypeScript, HTML, Angular",2.7
Ronald Sloan,https://picsum.photos/905/840,PhD in Data Science,16,Data Scientist,"Cook, Foster and Phillips",Data Science,"SQL, Big Data, Python, Data Visualization, R",4.1
Tiffany Proctor,https://placekitten.com/966/1020,BSc in Information Systems,18,Principal Systems Analyst,Davis Ltd,Systems Analysis,"Process Improvement, Requirements Gathering, Database Management, System Analysis, Technical Documentation",1.1
Shannon Ferguson,https://picsum.photos/944/927,MSc in Information Systems,38,Senior Systems Analyst,"Vazquez, Ward and Neal",Business Analysis,"System Analysis, Database Management, System Integration, Technical Documentation, Process Improvement",4.5
Marc Santos,https://dummyimage.com/341x483,MSc in Information Technology,8,DevOps Engineer,Edwards PLC,DevOps,"CI/CD, Docker, Terraform, Linux, Azure",1.6
James Peterson,https://picsum.photos/545/947,MSc in Blockchain Technology,13,Blockchain Developer,"Erickson, Davis and Fields",Blockchain Technology,"Consensus Algorithms, Blockchain Development, Cryptography, Smart Contracts, Solidity",2.0
Samantha Ramirez,https://dummyimage.com/864x865,PhD in Artificial Intelligence,20,Principal AI Researcher,Taylor-Harmon,Artificial Intelligence,"Algorithm Development, Machine Learning, Computer Vision, TensorFlow, Natural Language Processing",2.9
Jacqueline Kennedy,https://picsum.photos/916/230,MSc in Computer Science,4,Senior Backend Developer,"Lee, Pittman and Carroll",API Development,"Python, REST APIs, Backend Development, SQL, Node.js",4.2
Robert Donaldson,https://dummyimage.com/149x882,MSc in Cybersecurity,33,Cybersecurity Expert,"Donovan, Mcmillan and Green",Cybersecurity,"Incident Response, Ethical Hacking, Vulnerability Assessment, Firewall Management, Network Security",2.2
Mr. Cameron Sampson,https://dummyimage.com/564x551,BSc in Information Technology,39,Senior Frontend Developer,Murillo-Trevino,Responsive Design,"JavaScript, TypeScript, CSS, React, UI/UX Design",1.4
Jessica Williams,https://picsum.photos/920/82,MSc in Cybersecurity,19,Senior Cybersecurity Analyst,Baker-Spencer,Network Security,"Network Security, Firewall Management, Security Information and Event Management (SIEM), Incident Response, Penetration Testing",1.7
Amy Cox,https://placekitten.com/1004/420,MSc in Computer Science,28,Lead Software Developer,"Browning, Maynard and Pena",Software Engineering,"API Development, System Architecture, C++, Debugging, Agile Methodologies",2.7
Shannon Williams,https://dummyimage.com/366x81,MBA,18,Principal Product Manager,Gordon Inc,User Experience,"Scrum, Project Management, User Experience, Agile, Market Research",5.0
Christopher Waters,https://placekitten.com/675/14,BSc in Data Engineering,22,Senior Data Engineer,Park Ltd,Data Engineering,"Big Data, Data Pipeline Development, Apache Spark, SQL, Data Warehousing",5.0
Robert Williams,https://picsum.photos/375/377,BSc in Information Technology,24,Frontend Developer,Smith-Livingston,UI/UX Design,"UI/UX Design, Vue.js, React, Responsive Design, TypeScript",3.1
Amanda Garcia,https://dummyimage.com/96x483,PhD in Data Science,4,Senior Data Scientist,Riddle-Jones,Big Data,"Statistics, Natural Language Processing, Data Visualization, Machine Learning, SQL",1.5
Ashley Oneal,https://placekitten.com/896/927,BSc in Data Engineering,29,Principal Data Engineer,Torres Ltd,ETL Processes,"Data Pipeline Development, Apache Spark, Big Data, SQL, Database Management",1.2
Janet Cooper,https://picsum.photos/941/794,MSc in Information Technology,5,Senior DevOps Engineer,"Tran, Huffman and Cordova",Automation,"Terraform, Azure, Docker, Ansible, AWS",2.4
Erin Williams,https://placekitten.com/521/345,MSc in Network Engineering,2,Principal Network Engineer,"Bates, Reid and Hurst",Network Design,"Wireless Networking, VPN, Network Troubleshooting, Network Design, Cisco",4.6
Jason Sanders,https://picsum.photos/502/413,BSc in Data Engineering,40,Senior Data Engineer,Crawford Ltd,Big Data,"Apache Spark, Data Warehousing, Big Data, ETL, Data Pipeline Development",1.3
Natalie Marquez,https://dummyimage.com/157x641,MSc in Computer Science,24,Mobile App Developer,"Garza, Flores and Kennedy",Mobile App Development,"Java, Android Development, Swift, Cross-Platform Development, Mobile UI Design",4.8
Susan Roach,https://placekitten.com/851/559,BSc in Information Systems,13,Senior Systems Analyst,"Gomez, Pearson and Williams",Business Analysis,"Business Analysis, Process Improvement, System Integration, Requirements Gathering, Database Management",3.6
Timothy Huerta,https://dummyimage.com/528x369,PhD in Data Science,30,Data Scientist,"Cummings, Cline and Luna",Data Science,"Python, Natural Language Processing, Big Data, Data Mining, R",2.6
Tara Wilcox,https://dummyimage.com/1021x910,MSc in Blockchain Technology,14,Blockchain Developer,"Robinson, Gordon and Horton",Cryptography,"Blockchain Development, Smart Contracts, Cryptography, Hyperledger, Consensus Algorithms",2.3
Andrea Murphy,https://picsum.photos/786/949,BSc in Computer Science,21,Senior Full Stack Developer,Fritz LLC,Full Stack Development,"Angular, HTML, SQL, React, CSS",3.7
Nichole Cobb,https://placekitten.com/299/895,PhD in Computer Science,18,Principal Software Engineer,Johnson Ltd,System Design,"API Development, Database Management, Software Design, C++, Java",2.4
Christopher Torres,https://placekitten.com/304/618,BSc in Information Technology,34,Principal DevOps Engineer,Cook-Arroyo,Infrastructure as Code,"Terraform, Ansible, Shell Scripting, Docker, CI/CD",2.5
Daniel Brown,https://placekitten.com/200/842,BSc in Computer Science,28,Blockchain Developer,Taylor LLC,Blockchain Technology,"Consensus Algorithms, Blockchain Development, Distributed Systems, Smart Contracts, Bitcoin",4.4
Christine Delgado,https://placekitten.com/561/400,MSc in Computer Science,37,Mobile App Developer,Warren-Martin,Android Development,"Flutter, Swift, React Native, Android Development, Cross-Platform Development",4.1
Deanna Johnson,https://placekitten.com/70/687,BSc in Computer Science,28,Principal Frontend Developer,"Parker, Hoover and Smith",UI/UX Design,"React, Angular, JavaScript, UI/UX Design, CSS",2.6
James Acevedo,https://placekitten.com/926/720,MSc in Information Technology,20,Senior DevOps Engineer,Clark-Willis,Automation,"Docker, Terraform, Azure, CI/CD, Ansible",3.2
Samantha Lewis,https://placekitten.com/773/135,BSc in Information Technology,38,Frontend Developer,Stevens and Sons,Web Development,"TypeScript, React, HTML, JavaScript, CSS",3.4
Ross Christian,https://dummyimage.com/193x10,MSc in Computer Science,19,Senior Mobile App Developer,Evans-Armstrong,Android Development,"Swift, Cross-Platform Development, React Native, iOS Development, Mobile UI Design",4.5
Lauren Weber,https://picsum.photos/139/54,BSc in Data Science,38,Senior Data Scientist,"Miller, Diaz and Powell",Data Science,"Data Visualization, SQL, Big Data, Natural Language Processing, R",2.0
Hailey Ruiz MD,https://placekitten.com/595/258,BSc in Information Technology,40,Principal Frontend Developer,Rogers PLC,UI/UX Design,"CSS, Responsive Design, HTML, TypeScript, Angular",2.8
Jean Richmond,https://picsum.photos/2/588,MSc in Computer Science,13,Senior Product Manager,"Jones, Phillips and Gomez",User Experience,"Product Lifecycle Management, Stakeholder Management, Scrum, Product Roadmap, Market Research",4.0
Taylor Harrison,https://placekitten.com/744/229,BSc in Computer Science,18,Lead Software Developer,"Adkins, Huber and Tapia",Software Engineering,"Software Design, Debugging, API Development, Python, C++",3.1
Christian Thompson,https://placekitten.com/402/523,MSc in Computer Science,17,Backend Developer,Crane-Carter,Microservices Architecture,"Go, Node.js, Backend Development, Java, SQL",3.7
Paul Sharp,https://dummyimage.com/657x428,BSc in Computer Science,11,Senior Mobile App Developer,Diaz PLC,iOS Development,"Android Development, Flutter, Cross-Platform Development, Kotlin, iOS Development",1.1
Kayla Gibbs,https://dummyimage.com/734x812,MSc in Blockchain Technology,6,Senior Blockchain Engineer,"Banks, Lutz and Compton",Decentralized Applications (DApps),"Cryptography, Consensus Algorithms, Bitcoin, Solidity, Smart Contracts",4.4
Brian Love,https://picsum.photos/870/288,MSc in Information Technology,13,Senior DevOps Engineer,Bridges-Harmon,Cloud Computing,"Linux, Azure, CI/CD, Kubernetes, AWS",1.7
Jose Cook,https://picsum.photos/573/126,BSc in Computer Science,5,Principal Mobile App Developer,Roy-Clark,Cross-Platform Development,"Cross-Platform Development, Android Development, React Native, Flutter, Kotlin",1.7
